Transaction_ID,Customer_ID,Date,Customer_Age,Gender,Country,Product_Category,Purchase_Amount,Quantity,Rating,Payment_Method,Order_Status
TXN-10000,,,18,F,us,Electronics,32.9,7,1.6,paypal,Cancelled
TXN-10001,CUST-160,2024-03-29,61,male,Canada, Electronics ,286.31,7,3.9,Cash,canceled
TXN-10002, CUST_149 ,18/03/2024,23,,UK,Electronics,-$12.15,10,4.7,PayPal,Cancelled
TXN-10003,CUST-273,01-29-2023,67,male,FR, Electronics ,416.15 USD,7,4.2,Cash,completed
TXN-10004,CUST-287,12-19-2023,39,M,USA,Electronics,,4,4.4,Credit Card,pending
TXN-10005,CUST-201,2023-12-03,20,M,canada,Apparel,536.21,2,2.3,Wire Transfer,Returned
TXN-10006,CUST-305,"Aug 31, 2022",41,Female,us,Electronics,$145.38,9,4.3,Wire Transfer,Pending
TXN-10007,CUST-123,"Jul 20, 2024",34,male,UK,,,3,2.9,Cash,Pending
TXN-10008, CUST_270 ,07-28-2024,69,,DE,Apparel,364.5,4,3.2,Credit Card,Returned
TXN-10009,CUST-365,16/08/2024,18,,germany,Apparel,329.83,7,2.0,credit_card,Completed
TXN-10010,CUST-363,30/05/2024,54,Other,DE,electronics,$404.09,7,10.0,CC,Pending
TXN-10011, CUST_263 ,10-09-2023,71,Other,Great Britain,Electronics,,7,1.8,Credit Card,canceled
TXN-10012, CUST_253 ,"Feb 25, 2024",29,MALE,Deutschland,home,197.48 USD,8,4.1,Wire Transfer,COMPLETE
TXN-10414,CUST-359,2022-10-08,19,F,france,Clothing,461.47,1,2.6,paypal,Pending
TXN-10014,CUST-372,"Aug 21, 2024",47,male,germany,Beauty,28.74,8,2.7,PayPal,Refunded
TXN-10015,CUST-388,02-27-2023,,Male,us,Home,549.63,2,3.2,Wire Transfer,Pending
TXN-10016,CUST-108,2024-06-16,58,Female,CA, beauty ,242.61,9,4.5,PayPal,Returned
TXN-10017,CUST-156,12-17-2023,31,male,FR,Clothing,378.86,5,2.9,CC,completed
TXN-10018,CUST-398,"Dec 27, 2022",55,male,usa,Beauty & Health,17.52,1,4.5,Cash,COMPLETE
TXN-10019,CUST-113,2024/04/12,35,,FR, beauty ,326.59,3,1.5,PayPal,Completed
TXN-10020,CUST-235,2023-04-10,53,Female,CA,electronics,$167.63,5,,Wire Transfer,Pending
TXN-10021,CUST-396,19/10/2023,22,male,canada,Home & Kitchen,206.08,2,3.3,CC,Cancelled
TXN-10022,CUST-126,21/03/2024,34,  Female  ,CA,Clothing,232.37,7,4.7,Cash,Completed
TXN-10023,CUST-187,,35,Female,United Kingdom,,427.03,3,2.1,CC,Pending
TXN-10024,CUST-294,11-09-2022,49,MALE,United Kingdom,Home,109.82 USD,4,1.8,bank_transfer,Cancelled
TXN-10025, CUST_224 ,24/04/2022,58,M,france,Electronics,363.21 USD,1,3.8,CC,completed
TXN-10026, CUST_156 ,01/01/2024,73,Other,USA,Clothing,$37.19,2,1.4,PayPal,Pending
TXN-10027, CUST_325 ,"Dec 04, 2023",21,Male,UK,CLOTHING,$492.87,5.0,4.9,CC,canceled
TXN-10028,CUST-177,"Nov 24, 2022",59,  Female  ,france,Beauty,€426.50,2,2.4,credit_card,Pending
TXN-10029,CUST-204,23/01/2024,,,United Kingdom,electronics,306.8,3,,bank_transfer,pending
TXN-10030,CUST-341,2023/12/05,73,Female,UK, beauty ,-$156.04,2,3.4,credit_card,Returned
TXN-10031,CUST-131,03-29-2024,38,  Female  ,Canada,CLOTHING,30.33,5,3.6,CC,COMPLETE
TXN-10032,CUST-365,03-01-2023,,Female,france,Electronics,365.05,2,4.4,paypal,COMPLETE
TXN-10033,CUST-266,"Jun 16, 2024",21,male,Germany,CLOTHING,581.45,9,-1.0,PayPal,Returned
TXN-10034,CUST-344,2024/06/24,34,F,FR,electronics,29.41,4,4.0,Wire Transfer,canceled
TXN-10035,CUST-260,2024-08-28,19,Female,UK,Beauty,74.9,7,2.4,,Completed
TXN-10036,CUST-335,2023/10/25,72,Other,DE, beauty ,60.13,1,4.3,Wire Transfer,COMPLETE
TXN-10037,CUST-275,2024-07-17,52,Femal,uk,home,494.28,7,2.3,Wire Transfer,Completed
TXN-10038,CUST-235,07-23-2022,56,female,FR,Apparel,587.55,9,1.7,Wire Transfer,Pending
