Customer_ID,Signup_Date,Country,Age,Annual_Income,Purchase_Status
CUST-8270,2025-01-15,United States,37,110023,Pending
CUST-1860,2025-01-16,Canada,36,90202,Active
CUST-6390,2025-01-21,Germany,30,87263,Pending
CUST-6191,2025-01-05,United States,35,,Inactive
CUST-3811,2025-01-19,Germany,36,32819,
CUST-7265,2025-01-18,United Kingdom,41,29283,Active
CUST-2648,2025-01-09,Canada,37,50933,Active
CUST-5426,2025-01-14,France,26,30983,Inactive
CUST-6578,2025-01-01,France,26,38133,Active
CUST-9322,2025-01-22,Germany,51,,Pending
CUST-2685,2025-01-03,Canada,55,38489,Pending
CUST-1769,2025-01-25,Canada,33,49118,Active
CUST-7949,2025-01-12,France,36,42263,Inactive
CUST-3433,,France,39,,Inactive
CUST-6311,2025-01-12,United Kingdom,36,38658,Active
CUST-6051,2025-01-08,United Kingdom,18,68563,
CUST-2184,2025-01-08,United Kingdom,14,52658,Inactive
CUST-6222,2025-01-18,France,28,,Pending
CUST-4385,2025-01-09,United States,40,71707,Inactive
CUST-7396,2025-01-22,Germany,41,,
CUST-9666,2025-01-17,United Kingdom,36,41384,Inactive
CUST-3558,2025-01-01,Canada,30,107983,Pending
CUST-8849,2025-01-20,Canada,29,99057,Closed
CUST-3047,2025-01-16,France,34,49139,Active
CUST-3747,2025-01-13,United Kingdom,35,100257,Pending
CUST-1189,2025-01-03,Canada,42,26530,Active
CUST-4005,2025-01-19,Canada,39,105120,Active
CUST-5658,2025-01-15,United States,40,85031,
CUST-2899,2025-01-02,Germany,37,37071,Closed
CUST-8734,2025-01-24,France,32,87843,Pending
CUST-2267,2025-01-18,United States,37,75661,Pending
CUST-2528,2025-01-13,Germany,43,22591,Inactive
CUST-4556,2025-01-23,Germany,43,83370,
CUST-4890,2025-01-22,Germany,53,74400,Inactive
CUST-9838,2025-01-18,United States,25,62870,Active
CUST-6393,2025-01-17,Germany,31,76481,Active
CUST-9792,2025-01-21,United States,19,21125,Pending
CUST-9433,2025-01-25,United Kingdom,44,46170,Pending
