Customer_ID,Signup_Date,Country,Age,Annual_Income,Purchase_Status
CUST-8270,2025-01-15,USA,36.739080416565045,USD 110023,Pending
CUST-1860,01/16/2025,can,,90202,Active
CUST-6390,21-Jan-2025,Germany,29.835510582781843,87263,Pending
CUST-6191,05-Jan-2025,USA,35.44243854223774,,Inactive
CUST-3811,2025-01-19,Germany,,32819,
CUST-7265,18-Jan-2025,uk,41.29248971893585,29283,Active
CUST-2648,2025-01-09,Canada,36.909377507733154,"$50,933",Active
CUST-5426,14-Jan-2025,FRANCE,26.05436767586216,30983,Inactive
CUST-6578,2025-01-01,France,26.188928504735387,USD 38133,Active
CUST-9322,01/22/2025,germany,51.15958503338744,,Pending
CUST-2685,03-Jan-2025,can,54.716687504618164,38489,Pending
CUST-1769,25-Jan-2025,can,32.86864663332679,49118,Active
CUST-7949,01/12/2025,France,35.677535727621624,42263,Inactive
CUST-3433,,FRANCE,39.00114474648217,,Inactive
CUST-6311,2025-01-12,UK,36.48031758159687,USD 38658,active
CUST-6051,01/08/2025,United Kingdom,18.257022794613697,68563,nan
CUST-7420,01/04/2025,uk,150.0,71578,pend.
CUST-2184,01/08/2025,uk,14.121109653993912,52658,inactive
CUST-6222,2025-01-18,France,27.673158087423808,N/A,Pending
CUST-4385,09-Jan-2025,United States,40.054271466248174,71707,Inactive
CUST-7396,22-Jan-2025,Germany,40.99994207924837,,nan
CUST-9666,2025-01-17,United Kingdom,,41384,inactive
CUST-3558,2025-01-01,Canada,30.415630598130825,107983,Pending
CUST-8849,2025-01-20,Canada,29.061634910015464,USD 99057,Closed
CUST-3047,2025-01-16,France,33.9715583686393,49139,Active
CUST-3747,01/13/2025,uk,34.732056533643366,100257,pend.
CUST-1189,2025-01-03,Canada,41.68468129529111,26530,Active
CUST-3734,01/06/2025,,150.0,N/A,active
CUST-4005,2025-01-19,can,38.73396191913555,"$105,120",active
CUST-5658,2025-01-15,usa,40.07015764487191,85031,
CUST-2899,01/02/2025,germany,36.98289377371865,USD 37071,Closed
CUST-8734,01/24/2025,France,32.40394177550525,87843,Pending
CUST-2267,18-Jan-2025,United States,36.8064546427544,"$75,661",Pending
CUST-2528,2025-01-13,Germany,42.51740273393576,USD 22591,Inactive
CUST-4556,2025-01-23,germany,43.391848677163125,83370,nan
CUST-4890,2025-01-22,Germany,53.15372684826906,74400,Inactive
CUST-9838,18-Jan-2025,USA,25.099737636937384,USD 62870,active
CUST-6393,17-Jan-2025,germany,30.599926090045976,USD 76481,Active
CUST-9792,01/21/2025,usa,18.86531339731598,21125,Pending
CUST-9433,01/25/2025,uk,44.310094643278546,USD 46170,Pending
CUST-8513,27-Jan-2025,UK,31.654924936432533,36154,active
CUST-3612,2025-01-17,can,37.061909820293266,75426,Active
CUST-8041,01/01/2025,can,150.0,112051,pend.
CUST-7235,09-Jan-2025,UK,31.73296005022175,108708,Active
CUST-6486,2025-01-01,United Kingdom,47.23190105426659,97275,Pending
CUST-8099,16-Jan-2025,USA,41.94233410485983,29587,
CUST-1775,2025-01-06,Germany,33.88477942341054,20645,ACTIVE
CUST-9226,05-Jan-2025,,42.67813919476397,101835,Active
CUST-4152,01/05/2025,Canada,42.899000800378744,107489,Pending
CUST-2585,,germany,31.085744833132647,46475,pend.
CUST-4943,2025-01-23,,20.309204393637916,101623,Inactive
CUST-8555,2025-01-21,France,26.008383729979606,29346,
CUST-4073,01/10/2025,germany,21.59471396617483,USD 79165,Active
CUST-2021,2025-01-19,usa,46.64434645992907,USD 56116,Inactive
CUST-4843,01/21/2025,United States,48.38115216447681,USD 111353,Pending
CUST-8989,01/09/2025,United States,50.86373880159016,45556,Closed
CUST-7873,01-Jan-2025,USA,,65096,Active
  CUST-3693 ,2025-01-13,uk,45.71400910373721,49009,pend.
CUST-1161,01/04/2025,usa,57.12191309384686,104246,Inactive
CUST-5297,2025-01-01,usa,46.119877138106446,101557,active
CUST-1995,01/08/2025,,150.0,75915,Active
CUST-8629,08-Jan-2025,uk,52.68298308396772,,Closed
CUST-2016,01/26/2025,Germany,35.41689037131941,47516,Active
CUST-8869,01/02/2025,Germany,32.67600893499528,21089,active
CUST-7439,22-Jan-2025,Canada,,"$30,487",Active
CUST-8892,01/27/2025,can,,USD 87494,Closed
CUST-7863,2025-01-12,United States,35.02782370921579,N/A,inactive
CUST-8916,2025-01-22,France,51.20429645104073,"$61,814",Pending
CUST-9529,2025-01-27,Germany,41.22396870523288,95330,Active
CUST-1878,17-Jan-2025,uk,35.58401472102668,,Inactive
CUST-5887,15-Jan-2025,usa,35.89608159927609,91906,Inactive
CUST-5859,2025-01-15,France,23.186060167011988,70100,pend.
CUST-7331,01/21/2025,FRANCE,33.50012108600274,68781,nan
CUST-6578,02-Jan-2025,,18.657046643702326,43952,Active
CUST-9684,19-Jan-2025,usa,45.22440952393811,70939,inactive
CUST-8208,01/06/2025,Germany,,30449,Active
CUST-6276,01/06/2025,United States,43.5490037962071,106661,Inactive
CUST-3062,01/02/2025,FRANCE,44.79410900834061,USD 87990,Active
CUST-1064,15-Jan-2025,germany,48.18764615727194,103297,active
CUST-9006,19-Jan-2025,Germany,35.86859163161803,,active
CUST-3568,2025-01-02,uk,-5.0,35037,Inactive
CUST-6463,2025-01-06,Germany,33.40253359634784,USD 91678,active
CUST-3027,24-Jan-2025,can,23.133028823120664,"$28,787",Pending
CUST-3695,01/23/2025,France,50.30732392537995,"$43,383",ACTIVE
CUST-6258,2025-01-19,France,34.03114170384925,USD 54518,Active
CUST-6618,2025-01-05,United States,,N/A,Pending
CUST-7736,01/04/2025,uk,30.33185054210218,41778,Active
CUST-1391,2025-01-24,FRANCE,30.726753174318286,25075,ACTIVE
CUST-6892,2025-01-10,UK,39.61696918124212,48365,inactive
CUST-4561,2025-01-20,uk,58.47047483372731,31002,active
CUST-7184,01/02/2025,France,40.22418613282565,N/A,Active
CUST-4099,01/21/2025,can,37.068438519965255,,active
CUST-7278,01/13/2025,germany,59.557761995625555,"$71,875",nan
CUST-9392,11-Jan-2025,United States,44.788935399127254,"$69,437",Inactive
CUST-4104,16-Jan-2025,UK,37.542492041349284,26816,inactive
CUST-8215,19-Jan-2025,can,30.20588141181905,66733,Inactive
CUST-3454,25-Jan-2025,FRANCE,38.16200076204561,N/A,Active
CUST-9996,23-Jan-2025,FRANCE,,"$91,363",ACTIVE
CUST-3731,01/11/2025,can,35.91434127558996,70139,Pending
CUST-9154,2025-01-16,USA,48.14402424769473,101768,Active
CUST-6056,03-Jan-2025,United States,29.596778168625118,74869,Active
CUST-9110,2025-01-27,uk,40.13540708163514,"$90,910",Active
CUST-4840,2025-01-18,usa,44.489399898375936,55292,ACTIVE
CUST-2028,26-Jan-2025,germany,28.378874831755905,"$71,631",
CUST-8385,2025-01-19,usa,26.77378584510899,N/A,Active
CUST-1502,01/05/2025,uk,33.49658077419097,87028,Inactive
CUST-7910,2025-01-10,uk,30.38370409743539,,Active
CUST-7938,2025-01-22,United States,46.52332608741504,USD 27851,
CUST-5488,2025-01-06,uk,24.982317214353454,87580,Active
CUST-1206,2025-01-05,,35.6847136852867,116136,ACTIVE
CUST-6134,01/12/2025,USA,60.46048333404475,"$29,168",Pending
CUST-6977,01/14/2025,UK,,79871,Pending
CUST-8721,,uk,40.792901443048855,109388,ACTIVE
CUST-8035,2025-01-26,usa,46.60682495697125,119751,active
CUST-2484,2025-01-27,uk,30.370509345746406,91853,active
CUST-8858,2025-01-26,FRANCE,24.18580371254596,USD 46649,Active
  CUST-5107 ,2025-01-15,USA,-5.0,102325,Active
CUST-3790,22-Jan-2025,France,37.65403828348537,109906,Inactive
CUST-8408,01/24/2025,France,18.817892052868388,81944,Active
CUST-9755,11-Jan-2025,Germany,38.75071914682778,48803,Active
CUST-6116,2025-01-16,France,45.698504987010395,USD 63355,inactive
CUST-6088,01/17/2025,Germany,25.870519269759907,107445,
CUST-2757,2025-01-04,can,39.35555848374813,28770,Inactive
CUST-8574,2025-01-08,germany,43.922636603701335,,Active
CUST-7374,2025-01-03,Canada,,82824,Active
  CUST-5548 ,20-Jan-2025,France,41.81006238741557,62070,
CUST-2678,15-Jan-2025,UK,32.55199758193699,,Active
CUST-4242,01/24/2025,FRANCE,23.72495662259404,106795,Active
CUST-5636,01/14/2025,United Kingdom,30.528535376160868,USD 24378,Inactive
CUST-2059,01/23/2025,can,29.139428981293754,105371,Inactive
CUST-7668,01/24/2025,France,34.19740953792454,95868,Inactive
CUST-4157,01/13/2025,germany,45.9327090545993,USD 115074,Active
CUST-6915,14-Jan-2025,Germany,21.881598718358312,25410,Active
CUST-3693,24-Jan-2025,usa,36.442500228173905,N/A,
CUST-4627,07-Jan-2025,United Kingdom,24.36598354482147,74245,Active
CUST-6450,15-Jan-2025,germany,27.599530821772287,78557,inactive
CUST-2663,14-Jan-2025,germany,40.58740752611842,USD 114611,Pending
CUST-6592,2025-01-15,France,23.100549466343008,116038,Inactive
CUST-8392,01/18/2025,,42.342442897029784,37087,active
CUST-2306,06-Jan-2025,United Kingdom,21.47835553375275,"$25,482",Active
CUST-6791,19-Jan-2025,United States,41.6698040343816,108296,Inactive
CUST-6864,25-Jan-2025,Canada,19.50468730421488,90448,Closed
CUST-8526,01/05/2025,United States,28.821873207433846,53623,nan
CUST-9901,2025-01-07,FRANCE,,64602,Active
CUST-6575,17-Jan-2025,United Kingdom,52.085463697668864,"$88,648",Active
CUST-6530,01/22/2025,United States,30.874753474828545,42207,nan
CUST-5413,2025-01-12,France,38.89960586029901,101554,Pending
  CUST-6675 ,2025-01-17,USA,47.04068018884884,,Closed
CUST-1663,2025-01-20,,41.81296174420471,81035,Active
CUST-2998,01/04/2025,USA,32.265357535451756,98279,Inactive
CUST-8994,2025-01-03,uk,27.51364685963667,92124,Pending
CUST-2495,01/13/2025,United States,-5.0,84089,inactive
CUST-4304,15-Jan-2025,,46.30703308614501,23321,ACTIVE
CUST-4763,01/22/2025,uk,52.157018343943875,"$98,682",Active
CUST-6232,2025-01-15,usa,18.12750576546929,,Inactive
CUST-2853,12-Jan-2025,UK,22.468752117989474,42190,Active
CUST-7585,2025-01-10,usa,46.619236021470805,USD 66737,Inactive
CUST-2291,01/05/2025,United Kingdom,19.48469453249823,102909,
CUST-4581,01/20/2025,germany,47.38549954911933,44995,active
CUST-8554,02-Jan-2025,Germany,32.85067494014608,117938,pend.
CUST-8280,24-Jan-2025,United States,-5.0,119239,Active
CUST-2636,01/13/2025,FRANCE,37.054285962714694,"$36,715",inactive
CUST-4696,2025-01-05,FRANCE,21.546315477645013,39086,
CUST-1698,2025-01-01,can,43.24014830598352,91425,Active
CUST-4005,2025-01-22,UK,51.89636997694697,106120,Active
CUST-1854,,Canada,43.70576215814241,54610,ACTIVE
CUST-3327,01/23/2025,Canada,,94637,Active
CUST-6855,01/11/2025,Canada,19.61964292234559,USD 96917,Pending
CUST-8392,24-Jan-2025,United States,150.0,USD 66619,nan
CUST-6855,,Canada,21.703566977606922,80058,ACTIVE
CUST-6249,03-Jan-2025,France,34.87721722887682,"$119,932",Active
CUST-6172,2025-01-08,USA,36.13400063272605,26031,ACTIVE
  CUST-8554 ,04-Jan-2025,FRANCE,43.68443510740995,"$42,785",Pending
CUST-6791,01/06/2025,UK,17.039710135169244,48669,Active
CUST-6535,20-Jan-2025,USA,48.112102303924,22282,Inactive
CUST-5931,04-Jan-2025,germany,41.944063189453715,109900,Inactive
CUST-4510,01/06/2025,UK,150.0,USD 58244,Inactive
CUST-1202,01/17/2025,USA,-5.0,,Active
CUST-5218,01/24/2025,UK,47.49140641691119,70583,Pending
CUST-9958,01/19/2025,germany,31.99906038762616,30516,Active
CUST-5389,01/25/2025,uk,34.799811006555714,,Active
CUST-3327,15-Jan-2025,France,38.83611970787932,81049,Closed
CUST-9004,01/08/2025,,25.868010942183886,113547,Pending
CUST-3931,2025-01-19,United States,32.17819420974751,37858,Active
CUST-8777,2025-01-12,FRANCE,43.6531690202038,72395,Active
CUST-1197,01/06/2025,Canada,42.64096078496275,"$88,670",Active
CUST-8125,22-Jan-2025,France,42.73107206695237,35434,Active
CUST-2930,2025-01-20,usa,23.448202488595683,95769,Active
CUST-7287,,Canada,32.63419649270859,86677,Active
CUST-9800,12-Jan-2025,FRANCE,31.03606164952195,105920,Inactive
  CUST-9800 ,01/01/2025,,39.25178842274702,USD 108503,Pending
CUST-3511,01/14/2025,France,38.35657989648898,USD 101926,Inactive
CUST-1659,01/05/2025,USA,36.55427330742936,111703,inactive
CUST-3811,11-Jan-2025,UK,59.65733955419929,USD 104526,Active
CUST-8098,2025-01-04,usa,32.09193919855962,60379,
CUST-7546,11-Jan-2025,France,-5.0,"$64,014",pend.
CUST-2986,01/01/2025,,23.43250329663944,114333,pend.
CUST-9338,01/18/2025,United Kingdom,,31120,pend.
CUST-3911,05-Jan-2025,germany,22.796826227842246,42852,nan
CUST-2734,01/10/2025,United States,27.8131807455672,N/A,Inactive
CUST-2843,01/13/2025,United States,48.100730944378526,USD 115040,Active
CUST-7184,2025-01-20,Canada,35.39163904361859,USD 25744,Inactive
CUST-3976,,USA,36.93330666952733,"$27,069",Pending
CUST-2959,2025-01-17,usa,34.03726691797903,118746,Pending
CUST-6759,11-Jan-2025,Germany,38.653009930217884,90188,Inactive
CUST-7694,01/24/2025,United Kingdom,49.02072147217844,"$27,597",Active
CUST-3385,23-Jan-2025,United Kingdom,15.060691637319643,92127,active
CUST-5736,2025-01-17,France,47.1833731558538,"$97,362",nan
CUST-2802,01/12/2025,Canada,9.84961547464993,USD 99674,Inactive
CUST-9155,2025-01-14,United States,35.28202711521928,73161,Inactive
CUST-9120,24-Jan-2025,,56.91907354744416,104092,Active
CUST-7616,01/09/2025,UK,41.80657939531544,93851,active
CUST-6534,12-Jan-2025,France,38.73058935320637,47734,Closed
CUST-5061,2025-01-03,France,55.01945966802973,86321,inactive
CUST-1262,01/08/2025,usa,27.96937101998856,"$38,800",Pending
CUST-7287,08-Jan-2025,USA,39.33967422465047,40538,Inactive
CUST-9815,2025-01-09,FRANCE,40.78117097473893,"$91,155",Inactive
CUST-3049,01/14/2025,uk,29.775978657729745,56575,Active
CUST-6423,2025-01-03,FRANCE,30.658898205040195,USD 47716,Pending
CUST-5548,2025-01-05,can,29.562205667766605,22352,ACTIVE
CUST-4108,19-Jan-2025,can,35.87314974008564,28556,ACTIVE
CUST-8158,01/14/2025,France,40.46691605771313,25498,Inactive
CUST-8400,2025-01-04,Canada,36.232302729146625,84386,nan
CUST-4170,01/13/2025,UK,42.09461817429855,USD 76882,Active
CUST-3255,01/25/2025,usa,15.308527140264523,20340,pend.
CUST-2154,08-Jan-2025,Germany,32.81748836257163,N/A,Active
CUST-5499,01/08/2025,can,24.765806896493537,USD 95250,ACTIVE
CUST-7295,2025-01-19,usa,38.01722512682898,USD 50654,Active
CUST-7197,2025-01-06,France,37.86917428672323,USD 75778,active
CUST-2648,23-Jan-2025,USA,33.843778850425444,84353,Inactive
CUST-6539,2025-01-15,germany,40.10279010532071,83922,Active
CUST-5199,2025-01-25,FRANCE,44.97812718264028,105090,Inactive
CUST-9445,01-Jan-2025,UK,34.39479477693691,94965,nan
CUST-3557,01/23/2025,United States,24.48305111900298,,Active
CUST-6592,2025-01-14,usa,19.18742429080519,21307,Pending
CUST-1098,08-Jan-2025,USA,35.361101753301284,55428,ACTIVE
CUST-3200,07-Jan-2025,Germany,37.41866701513541,95774,inactive
CUST-3961,01/06/2025,uk,25.30476110480021,21140,Active
CUST-5973,03-Jan-2025,FRANCE,42.257668231630326,46421,Active
CUST-5433,01/19/2025,United States,30.410431141754266,"$39,595",Active
CUST-3869,20-Jan-2025,FRANCE,18.435671348288494,64789,Active
  CUST-6791 ,2025-01-15,France,47.564363423451894,"$36,859",Active
CUST-9352,01/01/2025,uk,46.439879192021635,N/A,inactive
CUST-6699,07-Jan-2025,FRANCE,14.844005633369019,68651,Closed
CUST-7944,2025-01-04,Germany,29.373997183463075,86418,pend.
CUST-5493,,USA,28.984163185857238,80011,inactive
CUST-5911,2025-01-01,can,51.39488659417503,115071,Active
CUST-4987,05-Jan-2025,uk,34.007072899583434,98518,Active
CUST-7015,2025-01-23,France,20.04121801944582,92805,active
CUST-2218,01/04/2025,United States,43.82104782240879,99063,Active
CUST-5496,01/02/2025,Canada,22.69224454233919,71098,Inactive
CUST-1878,05-Jan-2025,United Kingdom,32.39659509278239,88344,Inactive
CUST-3489,2025-01-10,usa,27.302311221191232,56304,active
CUST-9050,01/22/2025,FRANCE,29.3954490172006,89338,active
CUST-4446,13-Jan-2025,can,44.37258089563939,38354,pend.
CUST-2045,2025-01-15,uk,50.21330161332166,48398,Pending
CUST-7893,24-Jan-2025,FRANCE,22.256312536206217,118668,active
CUST-2693,2025-01-08,germany,41.26076425507817,"$68,456",nan
CUST-4436,2025-01-15,usa,27.672463703100043,28016,
CUST-9754,02-Jan-2025,Canada,27.983280899759244,35072,active
CUST-6895,19-Jan-2025,Germany,39.906362214227144,100018,active
CUST-4354,01/04/2025,United Kingdom,24.72097234286305,41826,Inactive
CUST-1225,11-Jan-2025,USA,39.706026007750445,45518,nan
CUST-5893,05-Jan-2025,FRANCE,42.30113356509735,112446,Closed
CUST-8022,01/10/2025,Canada,30.674677383009815,119441,Active
CUST-6600,06-Jan-2025,Canada,48.27078102013667,"$56,188",active
CUST-8996,01/15/2025,Germany,22.27175387938493,56674,Inactive
CUST-8683,,UK,48.45406190611672,42313,Inactive
CUST-5642,01/12/2025,Germany,15.560125705148671,20276,Active
CUST-8679,01/13/2025,FRANCE,61.99714140419509,,Closed
CUST-9208,2025-01-18,UK,30.937977613781676,106072,inactive
CUST-8339,01-Jan-2025,UK,23.376928436123823,47810,pend.
CUST-3205,08-Jan-2025,can,32.67328091480002,30503,Closed
CUST-2069,2025-01-12,can,24.535220573755716,"$31,590",Pending
CUST-6387,2025-01-24,United States,38.869652988545425,32866,ACTIVE
CUST-2060,08-Jan-2025,,48.67657331470147,52792,Inactive
CUST-3327,2025-01-10,uk,25.065437739433225,106156,Active
CUST-4420,2025-01-26,France,40.793992391740034,28068,inactive
CUST-1301,22-Jan-2025,USA,19.672646311042406,61160,Active
CUST-1606,2025-01-14,uk,45.329547332286126,40131,inactive
CUST-4170,22-Jan-2025,can,39.162363669275955,"$35,038",Active
CUST-1699,2025-01-23,United States,45.761833213303206,97064,Active
CUST-6088,2025-01-14,United States,33.77653097358895,68511,Active
CUST-1190,01/21/2025,UK,30.64843402145248,21381,Active
CUST-1980,01/14/2025,France,43.16117436057333,44322,Pending
CUST-3975,2025-01-23,Germany,21.919514784415814,81388,Pending
CUST-7102,01-Jan-2025,USA,17.571756682664248,"$107,329",Inactive
CUST-2184,,FRANCE,34.95038015959962,104050,Active
CUST-4327,19-Jan-2025,UK,-5.0,42031,Active
CUST-4394,21-Jan-2025,Germany,40.53833331781546,91312,Active
CUST-9319,2025-01-09,uk,45.91551424313997,,Active
CUST-4157,01/09/2025,France,40.33014079151139,66092,Closed
CUST-6854,2025-01-20,UK,45.11903311826745,,Active
CUST-7709,01/21/2025,usa,38.21052333332164,,active
CUST-1569,09-Jan-2025,uk,39.94595748321098,"$78,394",Active
CUST-6442,2025-01-20,Germany,33.83342790167729,43782,Active
CUST-2895,26-Jan-2025,USA,39.65045461015182,87904,Inactive
CUST-3733,01/06/2025,FRANCE,36.66652828563513,42173,Inactive
CUST-4863,01/07/2025,Germany,38.25176796529064,,Active
CUST-8455,01/27/2025,UK,33.33275966913161,50750,Active
CUST-9815,2025-01-27,UK,43.08929200471298,27190,active
CUST-2686,11-Jan-2025,FRANCE,27.895474501650483,100905,Active
CUST-4009,12-Jan-2025,Canada,34.81650979095893,"$21,589",Active
CUST-8806,01/19/2025,USA,48.117839002075755,20159,
CUST-1154,2025-01-24,germany,25.51278177078875,51921,Inactive
CUST-2409,01/07/2025,uk,13.381545382473693,28244,Inactive
CUST-1784,2025-01-21,United States,38.66457166297972,66101,ACTIVE
CUST-9096,2025-01-17,FRANCE,32.43045509646501,USD 104227,ACTIVE
CUST-8560,01/11/2025,USA,45.10862240371839,91126,Inactive
CUST-8343,01/26/2025,United States,33.69484920103006,94763,inactive
CUST-8206,2025-01-21,USA,28.956609284366884,32237,Pending
CUST-6596,2025-01-07,USA,34.241826041817866,93463,Active
CUST-6801,2025-01-20,Germany,45.93068586613211,,Inactive
CUST-3806,01/17/2025,USA,40.75369627192375,USD 74238,ACTIVE
CUST-1537,22-Jan-2025,,10.660977434519655,51897,Closed
CUST-6986,2025-01-08,germany,36.857674920867716,64757,Inactive
CUST-2841,2025-01-07,UK,37.35762132401405,47990,Inactive
CUST-9716,01/13/2025,United Kingdom,34.81750034799481,"$99,623",Active
CUST-7971,23-Jan-2025,United States,28.89110108431411,100811,Inactive
CUST-6625,27-Jan-2025,UK,46.94531874506444,90812,Active
CUST-6949,2025-01-17,United Kingdom,47.440339481348616,USD 39008,active
CUST-8992,16-Jan-2025,germany,12.968395391741382,73384,Active
CUST-5780,2025-01-18,germany,27.02040522258556,25571,inactive
CUST-3368,14-Jan-2025,United States,33.5526934871428,110930,Active
CUST-7655,01/15/2025,United States,44.4850820371667,22224,active
CUST-9173,01/02/2025,germany,35.34852876391766,68695,Closed
CUST-6575,01/17/2025,United Kingdom,-5.0,"$52,441",Active
CUST-7002,06-Jan-2025,FRANCE,42.09533577307375,82368,Inactive
CUST-7614,2025-01-04,USA,32.886639144490076,64760,ACTIVE
CUST-6919,2025-01-08,uk,,USD 91854,Active
CUST-1853,23-Jan-2025,France,34.72841566595924,32180,Pending
CUST-5146,01/03/2025,usa,40.74308440838484,49796,Active
CUST-4769,10-Jan-2025,France,31.914503983262126,USD 109963,Inactive
CUST-1574,01/14/2025,UK,41.86946492647222,113635,Inactive
CUST-2148,01-Jan-2025,Germany,34.269310315929275,,Inactive
CUST-7293,01/23/2025,UK,24.32983413582124,25842,inactive
CUST-7457,2025-01-07,Germany,34.63223694304552,65968,Active
CUST-8509,2025-01-08,United Kingdom,24.84786596854785,74575,Active
CUST-5107,25-Jan-2025,Germany,35.40986789775942,45599,Pending
CUST-4854,03-Jan-2025,United States,43.29473929231466,,Inactive
CUST-3491,27-Jan-2025,FRANCE,,"$25,355",pend.
CUST-4124,01/08/2025,uk,38.64273405804439,58342,pend.
CUST-6691,25-Jan-2025,,26.709625416467922,22257,pend.
CUST-4051,05-Jan-2025,United States,,46654,Inactive
CUST-1004,2025-01-19,FRANCE,43.60204242020484,49320,active
CUST-6222,01/15/2025,Canada,13.704869258899585,115690,Pending
CUST-6315,01/03/2025,France,23.855241731286547,N/A,Inactive
  CUST-9787 ,01/24/2025,United Kingdom,31.31020554890078,,Active
CUST-1876,2025-01-11,France,38.15040489181615,116035,Closed
CUST-8027,2025-01-22,Canada,33.33616670641676,82491,Closed
CUST-5142,14-Jan-2025,Canada,34.54119218019081,78283,Inactive
CUST-7966,01/23/2025,UK,55.42984525351257,67591,Active
CUST-8079,01/07/2025,germany,22.875427211507724,74336,active
CUST-8987,2025-01-07,UK,150.0,53002,pend.
CUST-7799,2025-01-23,germany,31.50021872845583,93016,nan
CUST-5465,2025-01-19,usa,40.494747924987344,30293,Active
CUST-1635,2025-01-19,Germany,56.289465557456,"$82,507",Active
CUST-2693,01/18/2025,FRANCE,41.88678023685426,N/A,Closed
CUST-5752,01-Jan-2025,germany,38.7249570979,"$56,609",active
CUST-9311,05-Jan-2025,France,50.99122335149376,59779,Inactive
CUST-1830,10-Jan-2025,United States,46.247986445931915,102594,
CUST-6177,02-Jan-2025,UK,27.006059238385646,71813,Active
CUST-9932,23-Jan-2025,FRANCE,37.94524742453856,N/A,Inactive
CUST-3967,2025-01-12,United Kingdom,17.825042658592405,116664,Active
CUST-6949,01/05/2025,FRANCE,29.59846611625749,105179,active
CUST-3838,01/09/2025,Germany,38.14052967599859,64864,pend.
CUST-2150,21-Jan-2025,usa,28.978946472187413,,ACTIVE
CUST-8560,01/20/2025,germany,,97403,
CUST-2931,2025-01-22,usa,34.86615384346961,23866,Inactive
CUST-2664,01/10/2025,United Kingdom,40.364167323950426,91354,active
CUST-2081,24-Jan-2025,Canada,30.75800977971889,,Active
CUST-1512,14-Jan-2025,uk,25.598510855632867,37908,active
CUST-8805,01/17/2025,United Kingdom,49.781268261732606,75350,active
CUST-6237,2025-01-19,can,30.043032573100554,71955,Active
CUST-1559,2025-01-14,United Kingdom,41.600105931171186,"$26,155",active
CUST-4672,01/08/2025,usa,49.35247026472536,75668,Inactive
CUST-8404,2025-01-13,FRANCE,36.62669998997532,72870,Pending
CUST-4343,2025-01-07,United States,26.436934305568506,"$73,554",inactive
CUST-5070,01/22/2025,UK,33.21390025452656,24426,Pending
CUST-1580,01/11/2025,United States,45.17540916606753,47606,Active
CUST-8004,01/04/2025,usa,37.06247545737863,,Active
